DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume,Market1: Direction,Market2: Direction,Market3: Direction
2015-01-05,276.6,282.7,274.4,281.4,6145.0,6275.5,6095.5,6255.0,301759.0,78077.0,45250.0,45570.0,44990.0,45500.0,704092.0,189194.0,0,0,0
2015-01-06,276.7,278.2,275.65,276.95,6145.0,6178.0,6114.0,6150.0,299683.0,50088.0,44570.0,44910.0,43980.0,44210.0,698540.0,447986.0,0,0,1
2015-01-07,275.85,277.65,274.8,276.0,6115.0,6151.5,6091.5,6130.0,297582.0,53173.0,44660.0,44840.0,44420.0,44640.0,700286.0,317816.0,0,0,1
2015-01-08,276.95,279.4,275.35,276.4,6104.0,6189.0,6103.85,6126.5,300723.0,55424.0,44740.0,44890.0,44580.0,44650.0,695008.0,208524.0,1,0,1
2015-01-09,275.45,277.6,273.85,276.7,6090.0,6148.5,6073.5,6132.0,303841.0,48765.0,44550.0,45050.0,44250.0,45000.0,725376.0,384066.0,0,0,0
2015-01-12,272.55,276.0,270.0,275.7,6017.0,6102.25,5966.0,6096.0,310639.0,55370.0,44140.0,44450.0,43790.0,44100.0,746406.0,403724.0,0,0,1
2015-01-13,264.4,272.9,258.6,272.15,5860.0,6034.0,5774.75,6019.25,308695.0,86674.0,43360.0,43720.0,42880.0,43400.0,786284.0,404006.0,0,0,0
2015-01-14,250.55,261.7,242.35,260.9,5548.0,5790.25,5353.25,5770.0,310049.0,161329.0,42150.0,42700.0,41190.0,42300.0,791292.0,408472.0,0,0,0
2015-01-15,255.8,259.5,251.7,253.5,5630.0,5724.0,5555.0,5562.75,305635.0,109631.0,40520.0,41230.0,39820.0,40600.0,794756.0,1020638.0,1,1,0
2015-01-16,261.7,263.4,254.05,258.2,5715.0,5797.5,5606.0,5657.25,308561.0,58164.0,40800.0,41470.0,40330.0,41080.0,804088.0,323734.0,1,1,0
2015-01-19,256.2306486302404,261.05289259396375,254.19962281549152,260.5574521426478,5672.0,5780.0,5630.0,5770.0,307033.0,45269.0,41190.0,41660.0,40510.0,40630.0,787562.0,298172.0,0,0,1
2015-01-20,259.4,263.6,255.5,263.35,5690.0,5768.0,5650.0,5668.5,297968.0,51958.0,41170.0,41450.0,40860.0,40970.0,787024.0,259190.0,0,1,1
2015-01-21,261.25,263.35,253.25,259.4,5771.0,5805.0,5590.0,5707.5,302944.0,60324.0,41180.0,41420.0,40970.0,41310.0,797658.0,236348.0,1,1,0
2015-01-22,257.85,261.25,255.6,260.75,5665.0,5760.0,5640.0,5753.5,305088.0,45513.0,41410.0,41990.0,40730.0,40850.0,789206.0,350340.0,0,0,1
2015-01-23,250.15,258.55,248.9,258.2,5519.5,5704.0,5502.0,5692.5,308013.0,62339.0,40910.0,41620.0,40410.0,41290.0,847050.0,480318.0,0,0,0
2015-01-26,254.3,255.45,241.9,249.5,5580.0,5625.0,5339.5,5500.0,317357.0,107444.0,39660.0,40540.0,38860.0,40420.0,888248.0,715356.0,1,1,0
2015-01-27,246.25,254.35,244.6,254.1,5421.0,5605.0,5405.0,5605.0,314015.0,66173.0,40210.0,40730.0,39650.0,39730.0,887992.0,604476.0,0,0,1
2015-01-28,247.95,250.0,245.05,246.25,5484.0,5510.0,5411.0,5418.5,312396.0,53090.0,39690.0,40210.0,39260.0,40050.0,894868.0,687248.0,1,1,0
2015-01-29,245.15,246.95,242.0,245.45,5395.0,5453.0,5346.0,5441.0,315265.0,62543.0,39520.0,39960.0,39240.0,39710.0,919676.0,602624.0,0,0,0
2015-01-30,249.45,251.85,242.95,245.6,5495.0,5507.0,5365.0,5422.5,323116.0,57477.0,39210.0,39520.0,38890.0,39160.0,952018.0,647928.0,1,1,1
2015-02-02,249.0,251.95,246.35,247.6,5500.0,5548.0,5460.5,5468.5,324474.0,55946.0,39830.0,40370.0,39330.0,39580.0,932042.0,586236.0,1,1,1
2015-02-03,258.15,259.5,249.6,249.85,5690.0,5703.0,5513.5,5513.5,326824.0,82038.0,40440.0,40830.0,40050.0,40110.0,896212.0,543294.0,1,1,1
2015-02-04,259.1,261.85,255.55,258.45,5705.0,5755.0,5628.0,5680.0,321083.0,70148.0,41260.0,41980.0,40840.0,41150.0,869130.0,616042.0,1,1,1
2015-02-05,259.5,260.95,253.35,259.6,5720.0,5731.0,5568.0,5690.0,321799.0,63916.0,41190.0,41540.0,40930.0,41360.0,884396.0,573146.0,0,1,0
2015-02-06,258.55,261.5,256.65,259.6,5650.0,5744.5,5645.5,5705.5,324858.0,44869.0,41320.0,41710.0,40790.0,40870.0,849362.0,522050.0,0,0,1
2015-02-09,258.05,259.05,256.0,257.95,5673.0,5698.0,5629.0,5653.0,325028.0,34887.0,41310.0,41600.0,41040.0,41400.0,843484.0,442210.0,1,1,0
2015-02-10,255.15,258.85,252.55,258.05,5595.0,5692.5,5560.5,5673.5,331490.0,53953.0,41320.0,41530.0,41080.0,41280.0,840284.0,300508.0,0,0,1
2015-02-11,254.1,258.35,253.45,254.8,5600.0,5688.0,5581.0,5607.5,329174.0,48294.0,40870.0,41090.0,40660.0,40800.0,817470.0,216186.0,0,0,1
2015-02-12,260.2,262.2,253.6,254.1,5740.0,5754.0,5585.0,5602.5,334923.0,55161.0,40860.0,41060.0,40650.0,41040.0,819982.0,182414.0,1,1,0
2015-02-13,260.5,264.2,259.15,260.6,5735.0,5793.5,5702.0,5736.5,335299.0,43422.0,41590.0,42120.0,41070.0,41170.0,790632.0,295288.0,0,0,1
2015-02-16,259.7090971395014,260.37541968930816,256.8183755905001,258.6608467717654,5749.0,5765.0,5688.0,5728.0,332685.0,29306.0,41750.0,42080.0,41540.0,41800.0,768670.0,188022.0,1,1,0
2015-02-17,258.15,262.3,255.0,260.05,5649.5,5762.0,5621.0,5736.5,326712.0,43117.0,41930.0,42100.0,41770.0,41950.0,748916.0,132284.0,0,0,0
2015-02-18,261.45,263.8,256.5,258.15,5745.0,5791.0,5650.0,5691.0,334482.0,40996.0,44699.99113386141,44969.51923360415,44049.20705457064,44267.19775790075,748194.1476398994,162197.95182902462,1,1,1
